gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_chembl_id	PMIDs
CLCN1	698	1180	GuideToPharmacologyInteractions	channel blocker	2440	CD2+	PYRIMETHAMINE	CHEMBL36	
KCNV2	KCNV2	169522	ChemblInteractions	blocker	CHEMBL284348	DALFAMPRIDINE	DALFAMPRIDINE	CHEMBL284348	
GRIN2B	457	2904	GuideToPharmacologyInteractions	agonist	3309	L-ASPARTIC ACID	ASPARTIC ACID	CHEMBL274323	
NOTCH1	NOTCH1	4851	MyCancerGenome	antibody	REGN421	REGN421	REGN-421	CHEMBL2109383	
CD52	CDW52	1043	ChemblInteractions	inhibitor	CHEMBL1201587	ALEMTUZUMAB	ALEMTUZUMAB	CHEMBL1201587	
ARVD3	424	424	GuideToPharmacologyInteractions	allosteric modulator	566	ZN2+	ZINC ION	CHEMBL1236970	
HRH3	GPCR97	11255	ChemblInteractions	inverse agonist	CHEMBL462605	TIPROLISANT	TIPROLISANT	CHEMBL462605	
KDM6B	2685	23135	GuideToPharmacologyInteractions	inhibitor	8230	IOX1	VASOPRESSIN TANNATE	CHEMBL1201528	
PKD2L1	505	9033	GuideToPharmacologyInteractions	channel blocker	4186	ETHYLISOPROPYLAMILORIDE	5-(N-ETHYL-N-ISOPROPYL)AMILORIDE	CHEMBL517986	
DNMT1	2605	1786	GuideToPharmacologyInteractions	inhibitor	8891	SGI-1027			
ART1	723	417	GuideToPharmacologyInteractions	inhibitor	707	CA2+	cA2	CHEMBL2109588	
ADI1	TTDS00469	55256	TTD	binder	DAP001291	NADH	CHEMBL1161866	CHEMBL1161866	
HCN2	401	610	GuideToPharmacologyInteractions	channel blocker	2359	ZD7288	CHEMBL2052019	CHEMBL2052019	
MYLK	1552	4638	GuideToPharmacologyInteractions	activator	2351	CALMODULIN	BEPRIDIL	CHEMBL1008	
MET	TTDC00110	4233	TTD	antibody	DCL000656	TAK-701			
CHRNA1	462	1134	GuideToPharmacologyInteractions	channel blocker	356	GALLAMINE	GALLAMINE	CHEMBL360055	
GNRH1	TTDS00253	2796	TTD	inhibitor	DAP000094	ABARELIX	ABARELIX	CHEMBL1252	
RXFP1	351	59350	GuideToPharmacologyInteractions	agonist	1990	RELAXIN-3	ACETOHYDROXAMIC ACID	CHEMBL734	
APP	A4	351	ChemblInteractions	inhibitor	CHEMBL3833321	BAN2401	BAN2401	CHEMBL3833321	
ATP4B	ATP4B	496	ChemblInteractions	inhibitor	CHEMBL1201863	DEXLANSOPRAZOLE	DEXLANSOPRAZOLE	CHEMBL1201863	
SLC22A6	OAT1	9356	ChemblInteractions	inhibitor	CHEMBL41194	PRATOSARTAN	PRATOSARTAN	CHEMBL41194	
OPRM1	MOR1	4988	ChemblInteractions	partial agonist	CHEMBL1685	DEZOCINE	DEZOCINE	CHEMBL1685	
BRD7	2726	29117	GuideToPharmacologyInteractions	inhibitor	8572	LP99			
PTGIR	PRIPR	5739	ChemblInteractions	agonist	CHEMBL962	EPOPROSTENOL SODIUM	EPOPROSTENOL SODIUM	CHEMBL962	
HTR1B	2	3351	GuideToPharmacologyInteractions	antagonist	96	RISPERIDONE	RISPERIDONE	CHEMBL85	
ROCK2	1504	9475	GuideToPharmacologyInteractions	inhibitor	8911	VEROSUDIL	VEROSUDIL	CHEMBL3545065	
CACNB1	CACNLB1	782	ChemblInteractions	modulator	CHEMBL2103836	IMAGABALIN	IMAGABALIN	CHEMBL2103836	
OPRD1	TTDS00128	4985	TTD	binder	DAP000425	LOPERAMIDE	LOPERAMIDE	CHEMBL841	
CD3E	2742	916	GuideToPharmacologyInteractions	antibody	7384	BLINATUMOMAB	BLINATUMOMAB	CHEMBL1742992	
TACR2	361	6865	GuideToPharmacologyInteractions	agonist	2098	SUBSTANCE P	SUBSTANCE P	CHEMBL235363	
PSMA3	PSMA3	5684	MyCancerGenome	inhibitor	CARFILZOMIB	CARFILZOMIB	CARFILZOMIB	CHEMBL451887	
PDE7A	1305	5150	GuideToPharmacologyInteractions	inhibitor	5154	BRL50481	CHEMBL484928	CHEMBL484928	
TRPC7	492	57113	GuideToPharmacologyInteractions	channel blocker	2433	2-APB	CHEMBL169233	CHEMBL169233	
ITGB2	CD18	3689	ChemblInteractions	inhibitor	CHEMBL2109332	MLNM-2201	MLNM-2201	CHEMBL2109332	
DRD2	DRD2	1813	ChemblInteractions	modulator	CHEMBL3545010	Ordopidine	Ordopidine	CHEMBL3545010	
TLR8	1758	51311	GuideToPharmacologyInteractions	agonist	9026	MOTOLIMOD	MOTOLIMOD	CHEMBL3301618	
GPR139	130	124274	GuideToPharmacologyInteractions	agonist	717	L-TRYPTOPHAN	TRYPTOPHAN	CHEMBL54976	
CTSE	2346	1510	GuideToPharmacologyInteractions	inhibitor	8674	GRASSYSTATIN A	GRASSYSTATIN A	CHEMBL567893	
CASR	54	846	GuideToPharmacologyInteractions	agonist	8375	ETELCALCETIDE	VELCALCETIDE	CHEMBL3545184	
RRM2B	P53R2	50484	ChemblInteractions	inhibitor	CHEMBL1200983	GALLIUM NITRATE	GALLIUM NITRATE	CHEMBL1200983	
GRIN2B	NMDAR2B	2904	ChemblInteractions	blocker	CHEMBL2107647	LANICEMINE	LANICEMINE	CHEMBL2107647	
ITGA5	ITGA5	3678	TALC	antibody	PF-04605412	PF-04605412	PF-04605412	CHEMBL2109622	
TRPM4	496	54795	GuideToPharmacologyInteractions	channel blocker	2844	ADENOSINE	ADENOSINE	CHEMBL477	
KCNG1	KCNG1	3755	ChemblInteractions	blocker	CHEMBL113461	TEDISAMIL	TEDISAMIL	CHEMBL113461	
CES1	2592	1066	GuideToPharmacologyInteractions	inhibitor	6701	GR148672X			
ITK	2046	3702	GuideToPharmacologyInteractions	inhibitor	8912	ACALABRUTINIB	ACALABRUTINIB	CHEMBL3707348	
GABRR1	420	2569	GuideToPharmacologyInteractions	antagonist	4143	AZA-THIP			
NDUFB10	NDUFB10	4716	ChemblInteractions	inhibitor	CHEMBL3545320	ME-344	ME-344	CHEMBL3545320	
KIF11	TTDC00143	3832	TTD	inhibitor	DCL000139	ISPINESIB	ISPINESIB (CHEMBL228814)	CHEMBL228814	
NDUFS7	NDUFS7	374291	ChemblInteractions	inhibitor	CHEMBL3545320	ME-344	ME-344	CHEMBL3545320	
CTSS	2353	1520	GuideToPharmacologyInteractions	inhibitor	6535	COMPOUND (R)-26 [PMID: 22686657]	CHEMBL2153161	CHEMBL2153161	
ACVR1C	2587	130399	GuideToPharmacologyInteractions	agonist	4936	GROWTH/DIFFERENTIATION FACTOR-1			
EPHB4	HTK	2050	ChemblInteractions	inhibitor	CHEMBL3544983	TESEVATINIB	TESEVATINIB	CHEMBL3544983	
GLRB	427	2743	GuideToPharmacologyInteractions	channel blocker	4286	PICROTIN	PICROTIN	CHEMBL478523	
NDUFA8	NDUFA8	4702	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	CHEMBL3545135	
ADRA1D	TTDS00030	146	TTD	antagonist	DAP000381	DOXAZOSIN	DOXAZOSIN	CHEMBL707	
PANX1	735	24145	GuideToPharmacologyInteractions	inhibitor	2447	FLUFENAMIC ACID	FLUFENAMIC ACID	CHEMBL23588	
HCN4	403	10021	GuideToPharmacologyInteractions	channel blocker	2359	ZD7288	CHEMBL2052019	CHEMBL2052019	
SCN8A	583	6334	GuideToPharmacologyInteractions	gating inhibitor	2614	ATX-II			
KCNQ1	560	3784	GuideToPharmacologyInteractions	channel blocker	8610	"3S,4R-293B"			
MMP11	1635	4320	GuideToPharmacologyInteractions	inhibitor	8665	COMPOUND 10 [PMID: 18790648]			
SLC1A7	872	6512	GuideToPharmacologyInteractions	inhibitor	4631	DL-TBOA			
CD28	TTDC00208	940	TTD	inhibitor	DCL000716	BELATACEPT	BELATACEPT	CHEMBL1742990	
CTSG	TTDC00019	1511	TTD	inhibitor	DCL000019	DERMOLASTIN	CHEMBL27885	CHEMBL27885	
KCNA2	539	3737	GuideToPharmacologyInteractions	channel blocker	2547	MARGATOXIN			
C1QB	1242	713	GuideToPharmacologyInteractions	inhibitor	5126	6-FLUOROTRYPTOPHAN	CHEMBL472222	CHEMBL472222	
PAK5	2138	57144	GuideToPharmacologyInteractions	inhibitor	5196	GSK690693	GSK-690693	CHEMBL494089	
PSMD10P2	PSMD10P2	280644	MyCancerGenome	inhibitor	BORTEZOMIB	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
KCNH8	KCNH8	131096	ChemblInteractions	blocker	CHEMBL1200728	GUANIDINE HYDROCHLORIDE	GUANIDINE HYDROCHLORIDE	CHEMBL1200728	
ESR1	TTDS00242	2099	TTD	binder	DAP001012	CHLOROTRIANISENE	CHLOROTRIANISENE	CHEMBL1200761	
IL2RB	TTDC00026	3560	TTD	agonist	DCL000164	MEDUSA IL-2			
ABCB4	45	5244	GuideToPharmacologyInteractions	agonist	687	AMYLIN	AMYLIN	CHEMBL2401866	
F2R	CF2R	2149	ChemblInteractions	antagonist	CHEMBL2103856	ATOPAXAR	ATOPAXAR	CHEMBL2103856	
PBRM1	2738	55193	GuideToPharmacologyInteractions	inhibitor	7915	PFI-3			
SLC28A2	1115	9153	GuideToPharmacologyInteractions	inhibitor	8485	COMPOUND 48 [PMID: 25815140]			
FOLR1	FOLR	2348	ChemblInteractions	inhibitor	CHEMBL1743016	FARLETUZUMAB	FARLETUZUMAB	CHEMBL1743016	
KCNJ4	432	3761	GuideToPharmacologyInteractions	gating inhibitor	2346	H+	GADOBENATE DIMEGLUMINE	CHEMBL1200571	
AMH	464	268	GuideToPharmacologyInteractions	agonist	3977	[3H]EPIBATIDINE	EPIBATIDINE	CHEMBL6623	
MAP3K10	2070	4294	GuideToPharmacologyInteractions	inhibitor	8173	CEP-1374			
CLK2	1991	1196	GuideToPharmacologyInteractions	inhibitor	8161	COMPOUND 17 [PMID: 23642479]			
CYP17A1	1361	1586	GuideToPharmacologyInteractions	inhibitor	6745	ABIRATERONE	ABIRATERONE	CHEMBL254328	
EPHA3	1823	2042	GuideToPharmacologyInteractions	antibody	8925	FIBATUZUMAB			
S1PR2	276	9294	GuideToPharmacologyInteractions	antagonist	9223	COMPOUND 16 [PMID: 26794040]			
PSMD9	PSMD9	5715	MyCancerGenome	inhibitor	BORTEZOMIB	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
GABRQ	GABRQ	55879	ChemblInteractions	agonist	CHEMBL979	MEPROBAMATE	MEPROBAMATE	CHEMBL979	
ELANE	2358	1991	GuideToPharmacologyInteractions	inhibitor	7487	ALPHA1-PROTEINASE INHIBITOR			
ACVR1	1785	90	GuideToPharmacologyInteractions	inhibitor	8144	COMPOUND 13R [PMID: 23639540]			
CASP3	1619	836	GuideToPharmacologyInteractions	activator	5238	PAC1			
MMP1	CLG	4312	ChemblInteractions	inhibitor	CHEMBL2364574	DOXYCYCLINE CALCIUM	DOXYCYCLINE CALCIUM	CHEMBL2364574	
GPR139	130	124274	GuideToPharmacologyInteractions	antagonist	8775	NCRW0005-F05			
NR1D2	597	9975	GuideToPharmacologyInteractions	agonist	8900	SR9011	SR9011	CHEMBL1961797	
PLG	2394	5340	GuideToPharmacologyInteractions	inhibitor	6537	BIS-TRIAZOLE DERIVATIVE 10	CHEMBL2016873	CHEMBL2016873	
REN	REN	5972	ChemblInteractions	inhibitor	CHEMBL3545059	ALISKIREN FUMARATE	ALISKIREN FUMARATE	CHEMBL3545059	
EPHA7	1827	2045	GuideToPharmacologyInteractions	inhibitor	8170	COMPOUND 8H [PMID: 21561767]			
EZH2	2654	2146	GuideToPharmacologyInteractions	inhibitor	7013	EI1			
ALDH5A1	SSADH	7915	ChemblInteractions	inhibitor	CHEMBL433	VALPROATE SODIUM	VALPROATE SODIUM	CHEMBL433	
CRHR1	212	1394	GuideToPharmacologyInteractions	agonist	915	[125I]CRF (OVINE)			
RXFP3	353	51289	GuideToPharmacologyInteractions	allosteric modulator	8343	135PAM1			
GABRQ	418	55879	GuideToPharmacologyInteractions	channel blocker	4320	TBPS	T-BUTYLBICYCLOPHOSPHOROTHIONATE	CHEMBL485673	
CACNB2	1402	783	GuideToPharmacologyInteractions	inhibitor	5161	CCP	SALSALATE	CHEMBL154111	
CFTR	707	1080	GuideToPharmacologyInteractions	activator	4271	NS004			
GRM5	GPRC1E	2915	ChemblInteractions	modulator	CHEMBL2346738	DIPRAGLURANT	DIPRAGLURANT	CHEMBL2346738	
ATR	FRP1	545	ChemblInteractions	inhibitor	CHEMBL3545178	AZD-6738	AZD-6738	CHEMBL3545178	
CSNK1D	1997	1453	GuideToPharmacologyInteractions	inhibitor	5985	IC261	IC261	CHEMBL576349	
MAPK15	2090	225689	GuideToPharmacologyInteractions	inhibitor	8176	BS-194			
BRD3	2725	8019	GuideToPharmacologyInteractions	"antagonist,inhibitor"	7034	RVX 208	APABETALONE	CHEMBL2393130	
NDUFA10	NDUFA10	4705	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	CHEMBL3545135	
NDUFA12	DAP13	55967	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	CHEMBL3545135	
TRPA1	485	8989	GuideToPharmacologyInteractions	gating inhibitor	6276	TCS 5861528	CHEMBL1086339	CHEMBL1086339	
TRPM3	495	80036	GuideToPharmacologyInteractions	gating inhibitor	2433	2-APB	CHEMBL169233	CHEMBL169233	
GNRH1	TTDS00244	2796	TTD	activator	DAP000023	GOSERELIN	GOSERELIN	CHEMBL1201247	
NPR1	TTDS00443	4881	TTD	stimulator	DAP001056	NITRIC OXIDE	NITRIC OXIDE	CHEMBL1200689	
TMEM173	2902	340061	GuideToPharmacologyInteractions	agonist	9207	2'3'-CGAMP			
ITGA4	CD49D	3676	ChemblInteractions	inhibitor	CHEMBL1743087	VEDOLIZUMAB	VEDOLIZUMAB	CHEMBL1743087	
P2RY12	328	64805	GuideToPharmacologyInteractions	agonist	1710	2MESADP	CHEMBL435402	CHEMBL435402	
TMPRSS11D	2420	9407	GuideToPharmacologyInteractions	inhibitor	8624	"INHIBITOR 1 [COLOMBO ET AL., 2012]"			
GAA	GAA	2548	ChemblInteractions	inhibitor	CHEMBL1561	MIGLITOL	MIGLITOL	CHEMBL1561	
HTR1F	5	3355	GuideToPharmacologyInteractions	antagonist	89	METHIOTHEPIN	METITEPINE	CHEMBL93240	
MAP3K13	LZK	9175	ChemblInteractions	inhibitor	CHEMBL290352	CEP-1347	CEP-1347	CHEMBL290352	
PGR	NR3C3	5241	ChemblInteractions	modulator	CHEMBL2105694	TELAPRISTONE ACETATE	TELAPRISTONE ACETATE	CHEMBL2105694	
MC5R	286	4161	GuideToPharmacologyInteractions	antagonist	1335	AGOUTI-RELATED PROTEIN			
INSR	TTDS00292	3643	TTD	binder	DAP001091	INSULIN-GLARGINE	INSULIN GLARGINE	CHEMBL1201497	
MAP2K2	2063	5605	GuideToPharmacologyInteractions	allosteric modulator	7942	REFAMETINIB	Refametinib	CHEMBL2138601	
TEP1	TTDC00055	7011	TTD	inhibitor	DCL000122	GRN163L			
CSNK1G1	1999	53944	GuideToPharmacologyInteractions	inhibitor	8163	COMPOUND 33 [PMID: 19364658]	METHYL NONYL KETONE	CHEMBL1236582	
PSMB9	LMP2	5698	ChemblInteractions	inhibitor	CHEMBL451887	CARFILZOMIB	CARFILZOMIB	CHEMBL451887	
CDS1	TTDC00010	1040	TTD	inhibitor	DCL000017	XL844	XL-844	CHEMBL3544936	
P2RY6	326	5031	GuideToPharmacologyInteractions	antagonist	1753	MRS2578	CHEMBL1321988	CHEMBL1321988	
GRM8	296	2918	GuideToPharmacologyInteractions	allosteric modulator	6216	AZ12216052	TRIAMCINOLONE DIACETATE	CHEMBL1200449	
DLX3	1747	1747	GuideToPharmacologyInteractions	agonist	4845	[125I]ANP (HUMAN)	PIRBUTEROL	CHEMBL1094966	
PDE1B	PDE1B1	5153	ChemblInteractions	inhibitor	CHEMBL932	DIPYRIDAMOLE	DIPYRIDAMOLE	CHEMBL932	
TNFRSF10A	TNFRSF10A	8797	MyCancerGenome	antibody	MAPATUMUMAB	MAPATUMUMAB	MAPATUMUMAB	CHEMBL2108621	
CFTR	707	1080	GuideToPharmacologyInteractions	channel blocker	2414	GLIBENCLAMIDE	GLYBURIDE	CHEMBL472	
INSRR	1802	3645	GuideToPharmacologyInteractions	inhibitor	7423	LINSITINIB	LINSITINIB	CHEMBL1091644	
SCN10A	585	6336	GuideToPharmacologyInteractions	activator	2619	BATRACHOTOXIN			
DAPK3	2004	1613	GuideToPharmacologyInteractions	inhibitor	9422	DAPK INHIBITOR 13			
PSME3	PSME3	10197	MyCancerGenome	inhibitor	BORTEZOMIB	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
TUBB1	TTDS00308	81027	TTD	binder	DCL000670	2-METHOXYESTRADIOL	2-METHOXYESTRADIOL	CHEMBL299613	
NQO1	TTDC00200	1728	TTD	activator	DCL000437	APAZIQUONE	APAZIQUONE	CHEMBL73822	
KCNG3	KCNG3	170850	ChemblInteractions	blocker	CHEMBL113461	TEDISAMIL	TEDISAMIL	CHEMBL113461	
MMP25	1647	64386	GuideToPharmacologyInteractions	inhibitor	8846	CGS-27023A	CGS-27023A	CHEMBL514138	
FPR3	224	2359	GuideToPharmacologyInteractions	agonist	1048	WKYMVM			
ABCC2	780	1244	GuideToPharmacologyInteractions	inhibitor	8776	PAK-104P			
PSMD10P3	PSMD10P3	338091	MyCancerGenome	inhibitor	BORTEZOMIB	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
KCNJ11	442	3767	GuideToPharmacologyInteractions	activator	4254	MINOXIDIL	MINOXIDIL	CHEMBL802	
KEAP1	INRF2	9817	ChemblInteractions	inhibitor	CHEMBL1762621	BARDOXOLONE METHYL	BARDOXOLONE METHYL	CHEMBL1762621	
KCNQ5	KCNQ5	56479	ChemblInteractions	activator	CHEMBL266510	FLINDOKALNER	FLINDOKALNER	CHEMBL266510	
GPR35	102	2859	GuideToPharmacologyInteractions	agonist	4837	BUMETANIDE	BUMETANIDE	CHEMBL1072	
IGF1	IBP1	3479	ChemblInteractions	inhibitor	CHEMBL2109355	DUSIGITUMAB	DUSIGITUMAB	CHEMBL2109355	
MAP3K6	2081	9064	GuideToPharmacologyInteractions	inhibitor	8133	COMPOUND 10 [PMID: 23147077]			
PI4K2A	2498	55361	GuideToPharmacologyInteractions	inhibitor	2844	ADENOSINE	ADENOSINE	CHEMBL477	
CALCA	TTDC00017	796	TTD	inhibitor	DCL000753	CIZOLIRTINE			
SLC12A2	TTDS00153	6558	TTD	blocker	DAP001344	ALDOSTERONE	ALDOSTERONE	CHEMBL273453	
ERAP1	APPILS	51752	ChemblInteractions	inhibitor	CHEMBL2103847	TOSEDOSTAT	TOSEDOSTAT	CHEMBL2103847	
CACNA1D	530	776	GuideToPharmacologyInteractions	gating inhibitor	2514	NIFEDIPINE	NIFEDIPINE	CHEMBL193	
KCNA5	542	3741	GuideToPharmacologyInteractions	inhibitor	7465	DRONEDARONE	DRONEDARONE	CHEMBL184412	
NGF	NGFB	4803	ChemblInteractions	inhibitor	CHEMBL2109528	Fasinumab	Fasinumab	CHEMBL2109528	
MT-ND4L	MTND4L	4539	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	CHEMBL3545135	
WNK3	2282	65267	GuideToPharmacologyInteractions	inhibitor	8138	COMPOUND 2C [PMID: 24900538]			
EPHB3	1832	2049	GuideToPharmacologyInteractions	inhibitor	8141	COMPOUND 66 [PMID: 19788238]			
KCNJ2	IRK1	3759	ChemblInteractions	blocker	CHEMBL1201729	DRONEDARONE HYDROCHLORIDE	DRONEDARONE HYDROCHLORIDE	CHEMBL1201729	
KCNH2	572	3757	GuideToPharmacologyInteractions	gating inhibitor	2609	APETX-1	CHEMBL1474918	CHEMBL1474918	
S1PR1	CHEDG1	1901	ChemblInteractions	agonist	CHEMBL3544938	APD334	APD334	CHEMBL3544938	
PRMT1	1252	3276	GuideToPharmacologyInteractions	inhibitor	7028	AMI-1	PSEUDOEPHEDRINE	CHEMBL1590	
UTS2R	GPR14	2837	ChemblInteractions	antagonist	CHEMBL567303	PALOSURAN	PALOSURAN	CHEMBL567303	
IMPDH1	TTDS00401	3614	TTD	inhibitor	DAP000782	AZATHIOPRINE			
BCL2	BCL-2	596	TALC	antisense oligonucleotide	OBLIMERSON	OBLIMERSON	OBLIMERSEN SODIUM	CHEMBL2109229	
PSMD12	PSMD12	5718	ChemblInteractions	inhibitor	CHEMBL3545432	IXAZOMIB CITRATE	IXAZOMIB CITRATE	CHEMBL3545432	
GRM7	295	2917	GuideToPharmacologyInteractions	allosteric modulator	8545	XAP044			
NPY4R	307	5540	GuideToPharmacologyInteractions	agonist	1545	"[LEU31,PRO34]NPY"			
ITGA4	TTDS00445	3676	TTD	binder	DCL000441	ATL/TV1102			
AVPR1B	367	553	GuideToPharmacologyInteractions	antagonist	2202	NELIVAPTAN	NELIVAPTAN	CHEMBL582857	
GRIN2D	GluN2D	2906	ChemblInteractions	partial agonist	CHEMBL3545230	NRX-1074	NRX-1074	CHEMBL3545230	
MME	TTDS00449	4311	TTD	inhibitor	DCL000188	OMAPATRILAT	OMAPATRILAT	CHEMBL289556	
MMP9	TTDC00076	4318	TTD	inhibitor	DCL000927	PG-116800			
PSMB7	PSMB7	5695	MyCancerGenome	inhibitor	CARFILZOMIB	CARFILZOMIB	CARFILZOMIB	CHEMBL451887	
GPRC6A	55	222545	GuideToPharmacologyInteractions	agonist	727	GLYCINE	GLYCINE	CHEMBL773	
AVPR1B	367	553	GuideToPharmacologyInteractions	agonist	2183	DVDAVP	CHEMBL435323	CHEMBL435323	
NDUFAF1	CIA30	51103	ChemblInteractions	inhibitor	CHEMBL3545135	NV-128	NV-128	CHEMBL3545135	
CYSLTR1	269	10800	GuideToPharmacologyInteractions	agonist	3354	LTC4			
KCNT1	385	57582	GuideToPharmacologyInteractions	channel blocker	2507	CLOFILIUM	CLOFILIUM	CHEMBL9484	
P2RY1	323	5028	GuideToPharmacologyInteractions	allosteric modulator	5808	BMS COMPOUND 16 [PMID:23368907]			
IL10	IL10	3586	ChemblInteractions	inhibitor	CHEMBL2109460	SCH-708980	SCH-708980	CHEMBL2109460	
TRPM6	498	140803	GuideToPharmacologyInteractions	activator	2346	H+	GADOBENATE DIMEGLUMINE	CHEMBL1200571	
LPL	TTDS00066	4023	TTD	activator	DAP000210	GEMFIBROZIL	GEMFIBROZIL	CHEMBL457	
MCHR1	280	2847	GuideToPharmacologyInteractions	allosteric modulator	8587	MQ1			
EEF2	EF2	1938	ChemblInteractions	inhibitor	CHEMBL1201550	DENILEUKIN DIFTITOX	DENILEUKIN DIFTITOX	CHEMBL1201550	
CTGF	TTDC00213	1490	TTD	inhibitor	DCL000803	FG-3019	FG-3019	CHEMBL2109377	
AKT3	2286	10000	GuideToPharmacologyInteractions	allosteric modulator	5921	AKT INHIBITOR VIII			
ADORA3	21	140	GuideToPharmacologyInteractions	"agonist,antagonist"	459	MRE 3008F20	CHEMBL302765	CHEMBL302765	
CHRNB4	CHRNB4	1143	ChemblInteractions	partial agonist	CHEMBL2103815	LARAZOTIDE ACETATE	LARAZOTIDE ACETATE	CHEMBL2103815	
S1PR1	TTDC00258	1901	TTD	inhibitor	DCL001127	GILENIA	FINGOLIMOD HYDROCHLORIDE	CHEMBL544665	
CASP8	1624	841	GuideToPharmacologyInteractions	inhibitor	8628	COMPOUND 4 [PMID: 12408711]			
CYP4F2	1344	8529	GuideToPharmacologyInteractions	inhibitor	8851	17-OCTADECYNOIC ACID	CHEMBL182310	CHEMBL182310	
GLRA3	425	8001	GuideToPharmacologyInteractions	allosteric modulator	2424	Δ9-TETRAHYDROCANNABINOL			
TSSK2	2258	23617	GuideToPharmacologyInteractions	inhibitor	8138	COMPOUND 2C [PMID: 24900538]			
CXCR1	68	3577	GuideToPharmacologyInteractions	agonist	820	CXCL6			
ESR1	ESR	2099	ChemblInteractions	antagonist	CHEMBL3545210	SR16234	SR16234 (CHEMBL3545210)	CHEMBL3545210	
PRKCZ	PKC2	5590	ChemblInteractions	inhibitor	CHEMBL608533	MIDOSTAURIN	MIDOSTAURIN	CHEMBL608533	
CHRM5	TTDS00006	1133	TTD	binder	DAP000430	PROMAZINE	PROMAZINE	CHEMBL564	
IL23A	SGRF	51561	ChemblInteractions	inhibitor	CHEMBL1742995	BRIAKINUMAB	BRIAKINUMAB	CHEMBL1742995	
CDK17	PCTAIRE2	5128	ChemblInteractions	inhibitor	CHEMBL1230607	PHA-793887	PHA-793887	CHEMBL1230607	
ADK	1231	132	GuideToPharmacologyInteractions	inhibitor	5131	ABT702	CHEMBL66089	CHEMBL66089	
ALOX15	1388	246	GuideToPharmacologyInteractions	allosteric modulator	9141	PKUMDL_MH_1001			
NDUFV2	NDUFV2	4729	ChemblInteractions	inhibitor	CHEMBL3545320	ME-344	ME-344	CHEMBL3545320	
PRKCI	1490	5584	GuideToPharmacologyInteractions	inhibitor	346	STAUROSPORINE	STAUROSPORINE	CHEMBL388978	
GABBR1	GPRC3A	2550	ChemblInteractions	agonist	CHEMBL2107312	ARBACLOFEN PLACARBIL	ARBACLOFEN PLACARBIL	CHEMBL2107312	
SLC6A14	937	11254	GuideToPharmacologyInteractions	inhibitor	4693	"α-METHYL-D,L-TRYPTOPHAN"			
PRSS1	2397	5644	GuideToPharmacologyInteractions	inhibitor	6432	CAMOSTAT	CAMOSTAT	CHEMBL590799	
GHSR	GHSR	2693	ChemblInteractions	agonist	CHEMBL281764	TABIMORELIN	TABIMORELIN	CHEMBL281764	
PSMB11	PSMB11	122706	ChemblInteractions	inhibitor	CHEMBL2103884	OPROZOMIB	OPROZOMIB	CHEMBL2103884	
TNF	TTDS00131	7124	TTD	antibody	DAP000048	PENTOXIFYLLINE	PENTOXIFYLLINE	CHEMBL628	
PIPSL	PIPSL	266971	MyCancerGenome	inhibitor	CARFILZOMIB	CARFILZOMIB	CARFILZOMIB	CHEMBL451887	
CNR1	56	1268	GuideToPharmacologyInteractions	allosteric modulator	9237	GAT100			
PDE6C	PDEA2	5146	ChemblInteractions	inhibitor	CHEMBL932	DIPYRIDAMOLE	DIPYRIDAMOLE	CHEMBL932	
GRIN2D	GluN2D	2906	ChemblInteractions	blocker	CHEMBL2107647	LANICEMINE	LANICEMINE	CHEMBL2107647	
CA5A	CA5	763	ChemblInteractions	inhibitor	CHEMBL18	ETHOXZOLAMIDE	ETHOXZOLAMIDE	CHEMBL18	
EGLN3	2834	112399	GuideToPharmacologyInteractions	inhibitor	8456	MOLIDUSTAT			
ASIC2	685	40	GuideToPharmacologyInteractions	activator	2346	H+	GADOBENATE DIMEGLUMINE	CHEMBL1200571	
PSMC3	PSMC3	5702	MyCancerGenome	inhibitor	BORTEZOMIB	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
ACACA	1263	31	GuideToPharmacologyInteractions	inhibitor	5280	TOFA	CHEMBL1562779	CHEMBL1562779	
PBK	2140	55872	GuideToPharmacologyInteractions	inhibitor	7813	OTS964			
C5	CPAMD4	727	ChemblInteractions	inhibitor	CHEMBL1201828	ECULIZUMAB	ECULIZUMAB	CHEMBL1201828	
GRIN3A	KIAA1973	116443	ChemblInteractions	antagonist	CHEMBL2106798	NERAMEXANE MESYLATE	NERAMEXANE MESYLATE	CHEMBL2106798	
CSRP2	1466	1466	GuideToPharmacologyInteractions	inhibitor	8143	COMPOUND 1O [PMID: 24210504]			
PDGFRB	PDGFR	5159	ChemblInteractions	agonist	CHEMBL1201556	BECAPLERMIN	BECAPLERMIN	CHEMBL1201556	
HTR2A	6	3356	GuideToPharmacologyInteractions	"agonist,antagonist"	50	QUETIAPINE	QUETIAPINE	CHEMBL716	
